"LIF_ID";"LIF_NAME";"LFK_NR";"VLS_CODE";"VLS_NAME";"VLS_VON";"VLS_BIS";"WST_EAN13";"WST_BSTNR";"WST_NAME";"WST_NAME2";"WST_PAKE";"PACK_A";"WST_PAKI";"WST_PAKE1";"WST_INH_N";"GEH_CODE";"WGR_NAME";"WUG_NAME";"LRZ_CODE";"WST_KINF";"WST_0CA";"WST_0ABOK";"WST_ILN";"WST_ARTNR";"WST_ANZ";"WRG_CODE";"PAT_CODE";"G_PRS";"E_PRS";"KIP";"MSK_ID";"AW";"AC";"AE";"AF";"AP";"AY";"AM";"AN";"BC";"BM";"AS";"AU";"NL";"UM";"UW";"NR";"GB";"GO";"GS";"GK";"SA";"SH";"SW";"SC";"SP";"SR";"ST";"SM";"SQ";"NON";"CDS";"CPP";"CAO";"CFE";"TWS";"BLD";"WXD";"CPT";"CSW";"CZS";"CSP";"CLE";"CMP";"PWN";"CNT";"CNP";"CQE";"CCF";"TWR";"ATM";"CAP";"LIQ";"LIB";"LSS";"CPH";"STN";"ADH";"FZG";"FIZ";"LCS";"NAN";"GCAL";"ZE";"ZF";"ZK";"KMD";"GKB";"GMKO";"Zutaten";"ULD";"FZN";"DIFBITS"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04001475112638";"1852070001";"1000G MEERSALZ GROBKOERNIG     AQUA";"";"Beutel";"";"1 x 1 Beutel";"Beutel";"";" ";"ZUCKER / SALZ";"SALZ";"Aquasale Meersalz";"";"0";"0";"4001475000003";"11232";"1";"EUR";" ";"2.003";"2.003";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"Zutaten: Meersalz.";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04006934465300";"1161810001";"1000G MINI ROESTI- TALER";"";"Beutel";"";"1 x 1 Beutel";"Beutel";"";" ";"TK GEMUESE/OBST/KARTOFFELN";"KARTOFFEL-SPEZIALITAETEN GV";"Schne-frost";"";"0";"0";"4006934000006";"4653";"1";"EUR";" ";"3.911";"3.911";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"178";"2.4";"7.6";"24";"0.5";"";"1";"Zutaten: Kartoffeln, Rapsöl, Kartoffelstärke, jodiertes Speisesalz, Traubenzucker, Verdickungsmittel Methylcellulose, Gewürz, Gewürzextrakte, modifizierte Stärke, Maltodextrin.";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"08851613101392";"1304090001";"1000ML KOKOSNUSS- MILCH           AROY";"";"Packung";"";"1 x 1 Packung";"Packung";"";" ";"FEINK.-SPEZ./TROCK.FRUECHTE";"ASIEN";"AROY-D";"";"0";"0";"4316734000008";"9538";"1";"EUR";" ";"4.229";"4.229";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"185";"1.6";"19";"2";"2";"";"0.05";"Zutaten: Kokosnussextrakt (60%), Wasser";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04020500943924";"1445700001";"1000ML ZUCKER COULEUR           AP";"";"Flasche";"";"1 x 1 Flasche";"Flasche";"";" ";"SENF / KETCHUP / MAYONNAISE";"WUERZSAUCEN";"Appel";"";"0";"0";"4067685000004";"";"1";"EUR";" ";"10.377";"10.377";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"08007574009523";"1390260001";"1050G TIRAMISU CON SAVOIARDI";"";"Karton";"";"1 x 1 Karton";"Karton";"";" ";"TK FERTIGGER./FLEISCHGER.";"DESSERTS TK";"HAAK & CHRIST GMBH";"";"0";"0";"4260066160001";"5893";"1";"EUR";" ";"20.765";"20.765";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"266";"3.1";"14.6";"27.3";"18.6";"";"0.07";"Zutaten: Wasser, rehydrierter löslicher Kaffee (13%), Zucker, REHYDRIERTE MAGERMILCH, WEIZENMEHL, Glukose-Fruktose-Sirup, EIER (26% in den Löffelbiskuits), Pflanzenfett (Kokos, Palme), Pflanzenöle (Kokos), MASCARPONE (3,1%), (SAHNE, PASTEURISIERTE MILCH, Säureregulator Milchsäure), EIGELB, Alkohol, BUTTER, Stabilisator Sorbitsirup, Glukosesirup, PASTEURISIERTE MILCH, Dextrose, modifizierte Stärke, Weißwein, Kakao, LAKTOSE, Emulgatoren Mono- und Diglyceride von Speisefettsäuren, Lecithin (aus Sonnenblumen) und Mono- und Diacetylweinsäureester von Mono- und Diglyceriden von Speisefettsäuren, Verdickungsmittel amidiertes Pektin, Natriumalginat, Johannisbrotkernmehl und Xanthan, MILCHEIWEISS, fettarmes Kakaopulver, Aromen, Backtriebmittel Natriumhydrogencarbonat, Dinatriumdiphosphat und Ammoniumhydrogencarbonat, WEIZENSTÄRKE, Marsalawein, Salz, Maltodextrine. Kann Spuren von Schalenfrüchten und Soja enthalten.";"ITALIEN";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"08001364119287";"1634270001";"1062ML GETROCKNETE TOMATEN/SB-OEL  NOV";"";"Glas";"";"1 x 1 Glas";"Glas";"";" ";"FEINK.-SPEZ./TROCK.FRUECHTE";"SPEZ.GEMUESEKONSERVEN";"Novella";"";"0";"0";"4007882000001";"47272";"1";"EUR";" ";"7.939";"7.939";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"168";"3.8";"16.4";"1";"1";"";"2.2";"Zutaten: Halbgetrocknete Tomaten 68 %, Sonnenblumenöl, Wasser, WEINESSIG, Salz, Gewürze, Kräuter, Säuerungsmittel: Citronensäure E330, Antioxidationsmittel: Ascorbinsäure E300";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04037168822881";"8822880001";"12KG GLANZWUNDER GESCH.&GLASREINIGER";"";"Stück";"";"1 x 1 Stück";"Stück";"";" ";"SPUELMITTEL";"MASCHINEN SPUELM. GV";"FLORE-CHEMIE GMBH";"";"0";"0";"4037162000001";"1036130012";"1";"EUR";" ";"68.889";"68.889";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"05028905015320";"1333430001";"125ML TRUEFFELOEL M.WS.TRUEFFELAROMA";"";"Flasche";"";"1 x 1 Flasche";"Flasche";"";" ";"FETTE / OELE / MARGARINE";"OEL-SPEZIALITAETEN";"International Collec";"";"0";"0";"4008934000000";"119700380";"1";"EUR";" ";"4.229";"4.229";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"813";"0";"92";"0";"0";"";"0";"Zutaten: Olivenöl 99%, weiße Trüffelaroma";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04260167203300";"1752040010";"130G FLAMMKUCHEN TEIGPLATTEN OVAL";"";"Gebinde";"";"1 x 10 Stück";"Stück";"";" ";"TK FERTIGGER./FLEISCHGER.";"PIZZEN/BAGUETTES";"Gusto Palatino GmbH";"";"0";"0";"4260167240008";"300";"10";"EUR";" ";"9.01";"0.901";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"268";"7";"3.23";"51.6";"1.5";"";"1.6";"Zutaten: WEIZENMEHL, Wasser, Rapsöl, Speisesalz";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04006934456704";"1162080001";"1300G ROESTI PLUS CLASSIC";"";"Beutel";"";"1 x 1 Beutel";"Beutel";"";" ";"TK GEMUESE/OBST/KARTOFFELN";"KARTOFFEL-SPEZIALITAETEN GV";"SCHNE-FROST";"";"0";"0";"4006934000006";"4567";"1";"EUR";" ";"5.819";"5.819";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"193";"2.1";"9.8";"23";"0.5";"";"1.1";"Zutaten: Kartoffeln, Rapsöl, Zwiebeln, Kartoffelstärke, jodiertes Speisesalz, Reismehl, modifizerte Maisstärke, Traubenzucker, Verdickungsmittel Hydroxypropylmethylcellulose, Gewürze, Maltodextrin, Gewürzextrakt.";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"03272770015653";"1045040001";"140G BRESSO KRAEUTER 100% PFLANZLICH";"";"Becher";"";"1 x 1 Becher";"Becher";"";" ";"KAESE";"FRISCHKAESE SB";"EDELWEISS GMBH & CO.";"";"0";"0";"4045355000004";"20590801";"1";"EUR";" ";"2.215";"2.215";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"4.6";"19";"7.4";"1.1";"";"1.1";"Zutaten: Wasser, 16% MANDELPÜREE, Rapsöl, Inulin, Kartoffelstärke, Kräuter der Provence, Kräuter, Knoblauch, Zitronensaftkonzentrat, Speisesalz, natürliche Aromen, Stickstoff zum Aufschlagen. Kann Spuren von Sellerie und weiteren Schalenfrüchten enthalten.";"FRANKREICH";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04028161011761";"3737950001";"15KG TOPWASH POWER VOLLWASCHMITTEL 120W";"";"Sack";"";"1 x 1 Sack";"Sack";"";" ";"WASCHMITTEL";"WASCHMITTEL GV";"ECOLAB DEUTSCHLAND G";"";"0";"0";"4000516000002";"1101090";"1";"EUR";" ";"42.389";"42.389";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04316734081144";"1371990001";"150G MISO SUPPEN- PASTE DUNKEL     MIY";"";"Packung";"";"1 x 1 Packung";"Packung";"";" ";"FEINK.-SPEZ./TROCK.FRUECHTE";"ASIEN";"MIYAKO";"";"0";"0";"4316734000008";"8114";"1";"EUR";" ";"2.639";"2.639";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"184";"12";"5.3";"26";"19";"";"12.2";"Zutaten: Suppenwürzpaste auf Reisbasis 76% (SOJAbohnen 30%, Reis 24%, Salz, Wasser), Miso Suppenwürzpaste auf Sojabohnenbasis 19% (SOJAbohnen 51%, Salz, Wasser), Alkohol 2.50%, Gewürze.";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04316734081151";"1372000001";"150G MISO SUPPEN- PASTE HELL       MIY";"";"Packung";"";"1 x 1 Packung";"Packung";"";" ";"FEINK.-SPEZ./TROCK.FRUECHTE";"ASIEN";"MIYAKO";"";"0";"0";"4316734000008";"8115";"1";"EUR";" ";"2.639";"2.639";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"203";"12";"5.8";"23";"0.5";"";"11.8";"Zutaten: Wasser, SOJAbohnen 30%, Reis, Salz, Alkohol 2.30%, Gewürze.";"";"";"3"
